SerialNumber,Customer,Product,StartDate,EndDate
CQDGNGXIR,John Doe,Smartwatch,2023-12-07,2025-01-10
FS37205677,John Doe,Headphones,2023-03-22,2024-07-17
SOBMCPRNQX,Michael Johnson,Headphones,2023-02-21,2023-10-20
9780223354,Michael Johnson,Smartwatch,2023-11-24,2025-09-02
LC94189276,John Doe,Headphones,2023-02-21,2023-10-14
4303424987,Michael Johnson,Smartphone,2023-08-15,2024-08-20
VJ83735869,Emily Davis,Tablet,2023-09-02,2024-03-28
3067589638,Michael Johnson,Headphones,2023-06-01,2025-05-28
FNKGWVXFAT,Michael Johnson,Smartphone,2023-11-13,2024-05-11
PQRIMGQUQNF,Jane Smith,Smartphone,2023-06-18,2024-12-25
7420430099,John Doe,Smartwatch,2023-11-01,2024-12-28
2392900597,Jane Smith,Smartphone,2023-02-12,2024-04-28
9086442261,David Brown,Smartwatch,2023-08-29,2025-07-25
YW99026750,David Brown,Headphones,2023-04-25,2025-01-12
RK64160255,John Doe,Smartwatch,2023-03-12,2023-10-23
TI92014959,Jane Smith,Headphones,2023-03-13,2025-03-06
ZQDNORFM,Michael Johnson,Laptop,2023-05-18,2024-05-26
XHMBO,Michael Johnson,Smartphone,2023-06-04,2024-09-28
ND85741119,David Brown,Smartphone,2023-09-09,2024-09-23
KVHBE,Jane Smith,Headphones,2023-06-22,2024-06-23
GV29631831,Jane Smith,Tablet,2023-01-18,2023-10-25
2859700141,Jane Smith,Smartwatch,2023-02-01,2024-02-22
7453013097,David Brown,Laptop,2023-06-08,2023-12-15
TYTNZXZHDO,John Doe,Smartphone,2023-10-24,2024-08-20
UCKYWCMFGAIC,John Doe,Smartwatch,2023-08-11,2024-09-03
JC820670,Michael Johnson,Headphones,2023-12-25,2024-07-06
1359548195,Emily Davis,Headphones,2023-08-19,2024-12-31
GE99277751,Emily Davis,Smartwatch,2023-10-15,2025-06-14
IS7197124,Michael Johnson,Headphones,2023-06-05,2025-06-02
RK55551118,Emily Davis,Laptop,2023-07-01,2024-01-05
2769933579,John Doe,Laptop,2023-03-30,2024-04-27
2622959658,Jane Smith,Headphones,2023-01-13,2023-09-03
SPVWEJ,Michael Johnson,Smartphone,2023-01-31,2024-04-13
CTEZXNIOTK,John Doe,Laptop,2023-04-21,2023-11-10
5055285857,Michael Johnson,Smartwatch,2023-10-11,2024-05-25
PV41450468,Jane Smith,Laptop,2023-01-24,2024-06-03
IYKJHRD,Emily Davis,Tablet,2023-03-25,2024-03-10
BG34955446,John Doe,Smartwatch,2023-04-22,2025-02-05
PRBJYBTACAOS,John Doe,Smartphone,2023-05-26,2024-02-29
LAGNZGDLCNJD,Jane Smith,Smartphone,2023-11-20,2024-07-03
AGGGENHOM,Emily Davis,Smartwatch,2023-10-03,2024-06-03
3945880835,Emily Davis,Laptop,2023-10-04,2025-03-12
BG31289269,Michael Johnson,Headphones,2023-01-05,2024-06-22
5992787243,David Brown,Headphones,2023-11-11,2024-11-29
5127948770,John Doe,Smartwatch,2023-11-06,2025-08-22
PYYIIZMZ,Emily Davis,Tablet,2023-10-02,2024-11-09
5755193754,Emily Davis,Smartphone,2023-03-26,2024-03-13
RHUTJALM,David Brown,Headphones,2023-07-09,2024-02-29
3038441141,Michael Johnson,Headphones,2023-03-19,2024-11-06
BFDEAFZUU,Jane Smith,Smartphone,2023-01-13,2024-08-09
ZVJPLPRDATE,Emily Davis,Smartwatch,2023-05-06,2024-09-15
2823238603,Emily Davis,Smartphone,2023-12-28,2024-07-22
YIBHSPDEEUQC,Emily Davis,Headphones,2023-03-22,2024-01-01
TKBAQ,David Brown,Tablet,2023-04-13,2023-12-03
8575230519,David Brown,Laptop,2023-11-25,2024-10-21
5923972509,John Doe,Smartphone,2023-03-02,2023-09-02
ZGBKURIDM,David Brown,Smartphone,2023-05-17,2023-12-16
GVRFBW,Emily Davis,Smartphone,2023-01-29,2024-10-20
TJVQQ,Emily Davis,Laptop,2023-08-31,2024-03-26
2542536366,David Brown,Smartwatch,2023-03-08,2024-01-26
3357379509,Jane Smith,Tablet,2023-06-22,2024-08-13
8004535578,Emily Davis,Tablet,2023-04-14,2024-10-21
7791797456,Emily Davis,Smartwatch,2023-05-19,2024-02-16
2330584929,Emily Davis,Laptop,2023-03-03,2024-10-19
1157310314,John Doe,Tablet,2023-10-29,2025-07-12
4806052986,John Doe,Headphones,2023-12-02,2024-06-02
2098541855,Michael Johnson,Tablet,2023-11-30,2025-06-16
FF83328095,John Doe,Smartphone,2023-12-10,2025-02-26
FRVHVNVB,Emily Davis,Headphones,2023-08-30,2025-04-08
IR29078222,David Brown,Smartphone,2023-04-14,2025-01-27
KN83480656,Jane Smith,Tablet,2023-07-31,2025-03-07
3717200257,Emily Davis,Headphones,2023-09-07,2025-08-08
AOPJIXELIJEI,David Brown,Tablet,2023-11-29,2025-04-19
9049393571,Jane Smith,Laptop,2023-02-05,2025-01-08
QYGUNDTS,Jane Smith,Headphones,2023-06-22,2025-01-26
WLOMKP,Michael Johnson,Tablet,2023-06-21,2024-08-23
GJLAJR,David Brown,Laptop,2023-12-11,2025-09-06
4865269201,Michael Johnson,Smartphone,2023-07-23,2025-06-23
QRPGFQEWQ,David Brown,Laptop,2023-11-30,2025-06-15
EUFYBQLD,Emily Davis,Smartphone,2023-07-26,2025-05-08
AI78540139,Jane Smith,Headphones,2023-12-18,2025-01-23
OTNXLK,David Brown,Tablet,2023-02-11,2024-08-19
2472571038,John Doe,Smartwatch,2023-07-23,2025-02-27
VBWSEGOL,John Doe,Headphones,2023-05-20,2023-12-25
MUZHW,Michael Johnson,Smartphone,2023-03-23,2024-12-03
YAARHYY,David Brown,Smartphone,2023-07-29,2025-01-01
9891978519,Emily Davis,Laptop,2023-08-01,2025-02-04
HO4703706,Jane Smith,Tablet,2023-03-21,2024-03-26
GJ35440819,Jane Smith,Smartphone,2023-10-19,2024-12-21
WR96062650,Jane Smith,Tablet,2023-12-30,2025-03-01
7273526412,John Doe,Laptop,2023-05-23,2025-01-04
VF16484957,Michael Johnson,Smartwatch,2023-02-23,2023-10-24
JJJRZL,David Brown,Smartphone,2023-10-05,2025-08-31
PU21065921,Jane Smith,Laptop,2023-10-22,2024-10-18
1497765067,Jane Smith,Headphones,2023-02-12,2023-12-08
KO14822686,Emily Davis,Smartphone,2023-06-16,2025-04-16
7954314089,Michael Johnson,Headphones,2023-11-26,2025-01-06
ONAWKTM,John Doe,Smartwatch,2023-07-09,2024-12-11
VVZROIXBF,Emily Davis,Laptop,2023-10-19,2025-02-02
CAZDTDWEP,David Brown,Smartphone,2023-11-16,2024-07-04
8992822234,John Doe,Smartphone,2023-08-23,2025-03-25
EZ15526975,Michael Johnson,Tablet,2023-04-15,2024-06-14
5795368430,John Doe,Headphones,2023-02-12,2024-05-20
WN17917631,Michael Johnson,Tablet,2023-12-08,2025-06-12
SH10323621,Michael Johnson,Tablet,2023-01-22,2024-03-03
PE58458485,John Doe,Headphones,2023-05-11,2024-10-08
PD89724184,John Doe,Smartphone,2023-03-08,2023-10-14
XVPRJV,Emily Davis,Laptop,2023-03-29,2024-10-31
PY21470451,Emily Davis,Laptop,2023-01-31,2024-11-22
RVZQGLMRHR,Jane Smith,Laptop,2023-01-28,2024-06-30
4478785074,John Doe,Smartphone,2023-09-29,2024-07-15
ELBUKLK,Michael Johnson,Smartphone,2023-08-16,2025-02-07
XXSVTVOZVSB,Michael Johnson,Tablet,2023-01-13,2024-01-16
QP36087647,Michael Johnson,Laptop,2023-07-28,2024-03-15
QGLUCMHMFYAF,Jane Smith,Tablet,2023-06-09,2025-02-11
UQ66199529,John Doe,Headphones,2023-02-13,2023-09-09
OWACZZH,David Brown,Laptop,2023-03-25,2024-02-25
WXKIXJZ,John Doe,Smartwatch,2023-02-16,2024-08-19
6708502576,Michael Johnson,Laptop,2023-12-02,2025-04-14
5385153873,Michael Johnson,Laptop,2023-12-15,2025-02-21
HM27985796,Michael Johnson,Smartwatch,2023-09-01,2025-08-18
GX23247525,Emily Davis,Smartwatch,2023-11-19,2025-05-04
2889281345,Michael Johnson,Headphones,2023-03-29,2023-12-31
RKUPUCCEBB,David Brown,Headphones,2023-02-02,2023-10-10
EJUECYSO,Michael Johnson,Smartwatch,2023-03-28,2024-09-12
4006249333,David Brown,Laptop,2023-01-26,2025-01-04
1429107329,Michael Johnson,Laptop,2023-08-20,2024-09-15
GM26733455,Michael Johnson,Tablet,2023-05-13,2025-04-20
UHZIRJQRNU,Emily Davis,Tablet,2023-01-25,2024-03-31
IGMNZOR,David Brown,Smartwatch,2023-07-06,2025-06-27
